pc_stamp_sec,tracker_receive_time_sec,filter_done_time_sec,pc_age_at_receive_ms,filter_runtime_ms,pc_stamp_to_filter_done_ms,raw_points,roi_points,cluster_points,roi_ratio,cluster_ratio,tf_ok,target_ok,source,provenance,detector_mode,moving,estimated_target_speed_mps,lidar_target_x_m,lidar_target_y_m,lidar_target_z_m
1.6,1.7000000000000002,1.7000000000000002,100.00000000000009,0.0,100.00000000000009,80000,136,136,0.0017,1.0,True,True,lidar_cluster,lidar,lidar,False,0.0,3.4457136808965583,3.4805622585998237,3.353781955950753
1.9,1.9000000000000001,1.9000000000000001,2.220446049250313e-13,0.0,2.220446049250313e-13,80000,152,152,0.0019,1.0,True,True,lidar_cluster,lidar,lidar,True,0.1902010971812068,3.4510078296602504,3.470452499186462,3.3517097312064594
2.0,2.1,2.1,100.00000000000009,0.0,100.00000000000009,80000,248,248,0.0031,1.0,True,True,lidar_cluster,lidar,lidar,True,0.3005572383233363,3.4650144847431794,3.4590938740047488,3.368186181980958
2.2,2.2,2.2,0.0,0.0,0.0,80000,166,166,0.002075,1.0,True,True,lidar_cluster,lidar,lidar,True,0.12564443360597163,3.4671920297882695,3.4560171600266294,3.3873595273627624
2.3,2.4000000000000004,2.4000000000000004,100.00000000000054,0.0,100.00000000000054,80000,278,278,0.003475,1.0,True,True,lidar_cluster,lidar,lidar,True,0.2951198137993227,3.4848686676725302,3.454977444056894,3.3948729704420906
2.8,2.8000000000000003,2.8000000000000003,4.440892098500626e-13,0.0,4.440892098500626e-13,80000,226,226,0.002825,1.0,True,True,lidar_cluster,lidar,lidar,True,0.35082393326998496,3.4517066640305107,3.480911910264607,3.442898733035774
2.9,3.0,3.0,100.00000000000009,0.0,100.00000000000009,80000,280,280,0.0035,1.0,True,True,lidar_cluster,lidar,lidar,True,0.35230647169624074,3.4544958954096785,3.5018654695877878,3.428470464425989
3.1,3.1,3.1,0.0,0.0,0.0,80000,230,230,0.002875,1.0,True,True,lidar_cluster,lidar,lidar,True,0.8511989650557709,3.450814428667693,3.5271346704641204,3.465788734514548
3.2,3.2,3.2,0.0,0.0,0.0,80000,266,266,0.003325,1.0,True,True,lidar_cluster,lidar,lidar,True,0.895433532389454,3.473538299443394,3.5414611071042605,3.442624611509286
3.4,3.4000000000000004,3.4000000000000004,4.440892098500626e-13,0.0,4.440892098500626e-13,80000,246,246,0.003075,1.0,True,True,lidar_cluster,lidar,lidar,True,0.4214818612993608,3.492659594603121,3.5580111864173736,3.476756382500453
