metric,value
mechanism.detector_mode,lidar
mechanism.gt_leakage_in_lidar_mode_count,0
mechanism.lidar_only_decision_clean,True
mechanism.has_lidar_target_ok,True
mechanism.has_dynamic_lock,True
mechanism.has_object_mission_goal,True
mechanism.has_active_nav_goal,True
mechanism.has_nonzero_cmd_vel,True
mechanism.removed_bird_count,2
mechanism.two_bird_removal_success,True
mechanism.four_bird_removal_success,False
spatial.robot_to_bird_xy_mean_m,7.276940800641999
spatial.robot_to_bird_xy_min_m,2.7535050273855295
spatial.object_goal_to_bird_xy_first_m,2.762526447512902
spatial.active_goal_to_bird_xy_first_m,2.762526447512902
spatial.goal_to_bird_xy_mean_m,5.079294208990375
spatial.goal_to_bird_xy_std_m,4.173114312564601
spatial.standoff_error_mean_abs_m,5.23159046832954
spatial.lidar_target_to_bird_xy_mean_m,3.016870520595611
spatial.lidar_target_to_bird_xy_p95_m,10.389463657929658
bird.speed_xy_mean_mps,0.031749918903255236
bird.speed_xy_max_mps,1.4999764178545183
bird.speed_3d_mean_mps,0.06914199181549453
bird.speed_3d_max_mps,1.5000000000000002
bird.motion_sample_count,3604
lidar.filter_runtime_mean_ms,0.0
lidar.filter_runtime_p95_ms,0.0
lidar.pc_stamp_to_filter_done_mean_ms,61.01694915254558
lidar.pc_stamp_to_filter_done_p95_ms,100.00000000000853
lidar.raw_points_mean,80000.0
lidar.roi_points_mean,95.72397094430993
lidar.cluster_points_mean,95.68523002421307
lidar.roi_ratio_mean,0.001196549636803874
lidar.cluster_ratio_mean,0.561640817573021
lidar.target_ok_count,212
lidar.provenance_gt_count,0
latency.pointcloud_to_lidar_target_ok_ms,100.00000000000009
latency.lidar_target_ok_to_dynamic_lock_ms,1299.9999999999998
latency.dynamic_lock_to_object_mission_goal_ms,7000.0
latency.object_mission_goal_to_active_nav_goal_ms,6600.000000000002
latency.lidar_target_ok_to_first_cmd_vel_ms,99.99999999999987
