frame_id,stamp_sec,image_path,label_path,coco_image_id,gt_valid,bbox_x,bbox_y,bbox_w,bbox_h,projection_reason
5,1.786,,,5,false,879.6331656570898,802.9477183887457,0.0,0.0,BBOX_TOO_SMALL
10,1.952,,,10,false,874.6332171500935,800.2834468632091,0.0,0.0,BBOX_TOO_SMALL
15,2.119,,,15,false,862.2057554180619,793.8056517882851,0.0,0.0,BBOX_TOO_SMALL
20,2.352,,,20,false,841.7139283932844,786.32574858061,0.0,0.0,BBOX_TOO_SMALL
25,2.553,,,25,false,823.0460559890469,776.6035705126967,0.0,0.0,BBOX_TOO_SMALL
30,2.72,,,30,false,821.7452309286632,766.0871848701343,0.0,0.0,BBOX_TOO_SMALL
35,2.919,,,35,false,825.8784478270559,752.2164041958247,0.0,0.0,BBOX_TOO_SMALL
40,3.119,,,40,false,832.5811818318261,740.5155841610426,0.0,0.0,BBOX_TOO_SMALL
45,3.287,,,45,false,843.6500106129589,725.6724178314796,0.0,0.0,BBOX_TOO_SMALL
50,3.353,,,50,false,850.2762170986093,716.4996622882244,0.0,0.0,BBOX_TOO_SMALL
55,3.558,,,55,false,870.6196010882863,686.9065570599241,0.0,0.0,BBOX_TOO_SMALL
60,3.721,,,60,false,887.1693814886158,661.0271493289563,0.0,0.0,BBOX_TOO_SMALL
65,3.887,,,65,false,904.8420439423957,631.2109048840133,0.0,0.0,BBOX_TOO_SMALL
70,4.054,,,70,false,922.0338981597024,599.1001755706407,0.0,0.0,BBOX_TOO_SMALL
75,4.221,,,75,false,932.0119265425104,573.0738200952399,0.0,0.0,BBOX_TOO_SMALL
80,4.421,,,80,false,942.1976355756211,529.502589369481,0.0,0.0,BBOX_TOO_SMALL
85,4.588,,,85,false,947.4499904973078,493.4396837810344,0.0,0.0,BBOX_TOO_SMALL
90,4.755,,,90,false,952.8778546025001,453.3176448432113,0.0,25.682355156788674,BBOX_TOO_SMALL
95,4.921,,,95,false,956.5921392924882,414.9852214257266,0.0,64.01477857427341,BBOX_TOO_SMALL
100,5.087,,,100,false,958.5781587543978,381.32135875700885,0.0,97.67864124299115,BBOX_TOO_SMALL
105,5.087,,,105,false,958.5781587543978,381.32135875700885,0.0,97.67864124299115,BBOX_TOO_SMALL
110,5.154,,,110,false,959.1182241262123,360.1051295065763,0.0,118.8948704934237,BBOX_TOO_SMALL
115,5.324,,,115,false,958.9473156266621,319.55004809189376,0.0,159.44995190810624,BBOX_TOO_SMALL
120,5.521,,,120,false,956.5433193184413,275.6870538920313,0.0,203.31294610796868,BBOX_TOO_SMALL
125,5.687,,,125,false,951.9930417692719,229.2815179757888,0.0,249.7184820242112,BBOX_TOO_SMALL
130,5.854,,,130,false,946.6884349690296,186.24179641678995,0.0,292.75820358321005,BBOX_TOO_SMALL
135,6.024,,,135,false,939.0119115300685,145.11681829635887,0.0,299.7458230811728,BBOX_TOO_SMALL
140,6.202,,,140,false,929.7297261603047,107.37823439041287,0.0,299.26018725172344,BBOX_TOO_SMALL
145,6.355,,,145,false,921.2434087141752,80.77260754123449,0.0,298.652787151891,BBOX_TOO_SMALL
150,6.521,,,150,false,911.1656083958305,56.698623067035044,0.0,297.8986878095958,BBOX_TOO_SMALL
155,6.554,,,155,false,910.5621051645472,55.41880869930225,0.0,297.8504622762185,BBOX_TOO_SMALL
160,6.721,,,160,false,898.949072491491,34.04760146856424,0.0,296.9938192482905,BBOX_TOO_SMALL
165,6.888,,,165,false,888.4780123390674,19.772904574742597,0.0,296.3253829574244,BBOX_TOO_SMALL
170,7.058,,,170,false,877.9834726807336,8.4468147892199,0.0,295.73335153726686,BBOX_TOO_SMALL
175,7.221,,,175,false,868.0858863617551,0.0,0.0,294.439539501868,BBOX_TOO_SMALL
180,7.422,,,180,false,855.848347492061,0.0,0.0,286.55775126333697,BBOX_TOO_SMALL
185,7.588,,,185,false,845.4261305693285,0.0,0.0,280.0111911333336,BBOX_TOO_SMALL
190,7.788,,,190,false,832.5839741675002,0.0,0.0,273.27805752451286,BBOX_TOO_SMALL
195,7.921,,,195,false,826.556550481997,0.0,0.0,271.6632877712948,BBOX_TOO_SMALL
200,7.996,,,200,false,821.1568762638829,0.0,0.0,270.52018269063774,BBOX_TOO_SMALL
205,8.155,,,205,false,811.5562525082657,0.0,0.0,268.4988183113184,BBOX_TOO_SMALL
210,8.321,,,210,false,800.7495764498008,0.0,0.0,266.25923603132503,BBOX_TOO_SMALL
215,8.488,,,215,false,791.1620112485739,0.0,0.0,264.6616632970724,BBOX_TOO_SMALL
220,8.688,,,220,false,780.3926236536154,0.0,0.0,263.1737141374857,BBOX_TOO_SMALL
225,8.855,,,225,false,769.0396489889489,0.0,0.0,261.7833164278939,BBOX_TOO_SMALL
230,9.022,,,230,false,759.4899282693323,0.0,0.0,260.8026112950253,BBOX_TOO_SMALL
235,9.256,,,235,false,745.7996002271832,0.0,0.0,259.7890938227957,BBOX_TOO_SMALL
240,9.422,,,240,false,736.2831536477056,0.0,0.0,259.275338131768,BBOX_TOO_SMALL
245,9.589,,,245,false,724.9996278766604,0.0,0.0,258.8119608578708,BBOX_TOO_SMALL
250,9.721,,,250,false,719.0871331557507,0.0,0.0,258.610670983813,BBOX_TOO_SMALL
255,9.79,,,255,false,713.9465826160863,0.0,0.0,258.4299533257097,BBOX_TOO_SMALL
260,9.955,,,260,false,705.1822309177076,0.0,0.0,255.828622713963,BBOX_TOO_SMALL
265,10.121,,,265,false,696.2508827991855,0.0,0.0,255.6297522793211,BBOX_TOO_SMALL
270,10.288,,,270,false,689.4369810420696,0.0,0.0,255.95087216955395,BBOX_TOO_SMALL
275,10.455,,,275,false,683.5997286995182,0.0,0.0,256.29175613040707,BBOX_TOO_SMALL
280,10.621,,,280,false,676.4695928685193,0.0,0.0,256.7082804799891,BBOX_TOO_SMALL
285,10.789,,,285,false,671.2236981483951,0.0,0.0,257.106689565054,BBOX_TOO_SMALL
290,10.963000000000001,,,290,false,666.6387206842355,0.0,0.0,256.9168094182777,BBOX_TOO_SMALL
295,11.155,,,295,false,661.733945112041,0.0,0.0,257.5634418524895,BBOX_TOO_SMALL
300,11.321,,,300,false,658.0922925130299,0.0,0.0,258.44522452872604,BBOX_TOO_SMALL
305,11.488,,,305,false,657.5077196980428,0.0,0.0,258.3467610445042,BBOX_TOO_SMALL
310,11.521,,,310,false,657.5096359549257,0.0,0.0,258.34759862600964,BBOX_TOO_SMALL
315,11.688,,,315,false,657.501807261044,0.0,0.0,258.32010885562374,BBOX_TOO_SMALL
320,11.888,,,320,false,657.913110653091,0.0,0.0,262.70260881883274,BBOX_TOO_SMALL
325,12.057,,,325,false,659.9567628067005,0.0,0.0,285.9953712300577,BBOX_TOO_SMALL
330,12.221,,,330,false,662.0151485808682,19.956421659156092,0.0,297.4590106651247,BBOX_TOO_SMALL
335,12.421,,,335,false,663.4203659223394,50.5519761018748,0.0,298.9742542826829,BBOX_TOO_SMALL
340,12.589,,,340,false,663.7645906199846,78.6024997280154,0.0,299.6866929841346,BBOX_TOO_SMALL
345,12.756,,,345,false,663.5767983906417,101.27768254183147,0.0,299.8219578009383,BBOX_TOO_SMALL
350,12.923,,,350,false,662.9443254902759,124.04993549361193,0.0,299.5681493284306,BBOX_TOO_SMALL
355,13.088,,,355,false,662.4069983673018,137.7965518295692,0.0,299.22889976534407,BBOX_TOO_SMALL
360,13.256,,,360,false,661.5957739378656,151.87781855311545,0.0,298.7344988079184,BBOX_TOO_SMALL
365,13.421,,,365,false,661.577080352291,152.04721666271135,0.0,298.7249135834538,BBOX_TOO_SMALL
370,13.588000000000001,,,370,false,662.0503564563774,144.79300584831782,0.0,298.990401510744,BBOX_TOO_SMALL
375,13.756,,,375,false,662.5973722546746,132.79681700980927,0.0,299.3598679397222,BBOX_TOO_SMALL
380,13.923,,,380,false,663.2312541274559,115.36199276056561,0.0,299.7037153255728,BBOX_TOO_SMALL
385,14.088,,,385,false,663.5586675976754,97.88872160572768,0.0,299.82536580942235,BBOX_TOO_SMALL
390,14.288,,,390,false,663.6809743487615,80.30814396033912,0.0,299.7169406878541,BBOX_TOO_SMALL
395,14.456,,,395,false,663.6220315547796,66.5526436311356,0.0,299.4644201187689,BBOX_TOO_SMALL
400,14.621,,,400,false,663.3794432472254,55.392372048534185,0.0,299.154143941117,BBOX_TOO_SMALL
405,14.788,,,405,false,663.152868034889,45.43235892471972,0.0,298.79074842145235,BBOX_TOO_SMALL
410,14.956,,,410,false,663.012981374123,39.82184504200379,0.0,298.55186686486877,BBOX_TOO_SMALL
415,15.121,,,415,false,669.166278869412,32.812414472787935,0.0,298.25848553208334,BBOX_TOO_SMALL
420,15.322,,,420,false,714.0732046264816,26.77889787255762,0.0,298.22619623060143,BBOX_TOO_SMALL
425,15.488,,,425,false,779.4828260230368,24.692423330098933,0.0,298.44480729534257,BBOX_TOO_SMALL
430,15.688,,,430,false,854.8079527524837,16.793494373942337,0.0,299.15098617124073,BBOX_TOO_SMALL
435,15.901,,,435,false,936.1531418665038,7.290221921132854,0.0,300.28018155486745,BBOX_TOO_SMALL
440,16.055,,,440,false,976.2533109619617,2.570430669424468,0.0,300.88262968570814,BBOX_TOO_SMALL
445,16.255,,,445,false,1058.8887412697577,0.0,0.0,294.9573280912733,BBOX_TOO_SMALL
450,16.421,,,450,false,1143.5705896870804,0.0,0.0,286.21553217448485,BBOX_TOO_SMALL
455,16.621,,,455,false,1227.3197921516694,0.0,0.0,277.5212308916383,BBOX_TOO_SMALL
460,16.796,,,460,false,1314.284620814955,0.0,0.0,268.44037202619495,BBOX_TOO_SMALL
465,16.955,,,465,false,1356.5304959650177,0.0,0.0,264.01179246473845,BBOX_TOO_SMALL
470,17.121,,,470,false,1441.88105577144,0.0,0.0,255.03122013792597,BBOX_TOO_SMALL
475,17.288,,,475,false,1528.096448546026,0.0,0.0,245.9135541380657,BBOX_TOO_SMALL
480,17.456,,,480,false,1570.2744342545752,0.0,0.0,241.44208445539905,BBOX_TOO_SMALL
485,17.621,,,485,false,1656.1482488553725,0.0,0.0,234.5967880086356,BBOX_TOO_SMALL
490,17.788,,,490,false,1741.84406167268,0.0,0.0,228.0148331619777,BBOX_TOO_SMALL
495,17.956,,,495,false,1784.8310656159954,0.0,0.0,224.7060960055879,BBOX_TOO_SMALL
500,18.121,,,500,false,1869.054490370325,0.0,0.0,220.60699902406935,BBOX_TOO_SMALL
505,18.327,,,505,false,1955.732071167261,0.0,0.0,228.11091446982337,BBOX_TOO_SMALL
510,18.488,,,510,false,2044.8796872168034,0.0,0.0,308.18922329110615,BBOX_TOO_SMALL
515,18.655,,,515,false,2089.1053422673144,122.9376763249658,0.0,313.23935097019984,BBOX_TOO_SMALL
520,18.821,,,520,true,277.84595530030117,129.68900511642087,361.15404469969883,349.31099488357916,OK_ODOM_CAMERA_FALLBACK
525,18.988,,,525,true,249.35791700787502,128.43303281270255,389.642082992125,350.56696718729745,OK_ODOM_CAMERA_FALLBACK
530,19.156,,,530,false,0.0,0.0,141.9428209616109,0.0,BBOX_TOO_SMALL
535,19.328,,,535,false,0.0,0.0,193.0815677571664,0.0,BBOX_TOO_SMALL
540,19.49,,,540,false,0.0,0.0,240.3888326233469,0.0,BBOX_TOO_SMALL
545,19.655,,,545,false,0.0,0.0,286.2262668005486,0.0,BBOX_TOO_SMALL
550,19.821,,,550,false,46.489123084355185,0.0,284.8839412054684,0.0,BBOX_TOO_SMALL
555,19.988,,,555,false,129.16834515109832,0.0,274.655207007104,0.0,BBOX_TOO_SMALL
560,20.121,,,560,false,163.8051025364851,0.0,271.53656590981046,0.0,BBOX_TOO_SMALL
565,20.198,,,565,false,200.3616941935133,0.0,268.07996296502193,0.0,BBOX_TOO_SMALL
570,20.355,,,570,false,261.2900761775992,0.0,261.92968810707623,0.0,BBOX_TOO_SMALL
575,20.522,,,575,false,332.3460238120276,0.0,258.0539783632537,0.0,BBOX_TOO_SMALL
580,20.688,,,580,false,382.5585348213199,0.0,256.4414651786801,0.0,BBOX_TOO_SMALL
585,20.855,,,585,false,428.2547559494215,0.0,210.7452440505785,0.0,BBOX_TOO_SMALL
590,21.021,,,590,false,480.5906606377124,0.0,158.4093393622876,0.0,BBOX_TOO_SMALL
595,21.188,,,595,false,539.5465690653274,0.0,99.45343093467261,0.0,BBOX_TOO_SMALL
600,21.396,,,600,false,595.3724504387972,0.0,43.62754956120284,0.0,BBOX_TOO_SMALL
605,21.556,,,605,false,641.4039560102046,0.0,0.0,0.0,BBOX_TOO_SMALL
610,21.733,,,610,false,671.0525394956352,0.0,0.0,0.0,BBOX_TOO_SMALL
615,21.921,,,615,false,698.9788755134466,0.0,0.0,0.0,BBOX_TOO_SMALL
620,22.09,,,620,false,726.7348002481951,0.0,0.0,0.0,BBOX_TOO_SMALL
625,22.255,,,625,false,752.7268746943637,0.0,0.0,0.0,BBOX_TOO_SMALL
630,22.503,,,630,false,788.770843872494,0.0,0.0,0.0,BBOX_TOO_SMALL
635,22.655,,,635,false,811.0986221068,0.0,0.0,0.0,BBOX_TOO_SMALL
640,22.821,,,640,false,831.6716144422268,0.0,0.0,0.0,BBOX_TOO_SMALL
645,22.988,,,645,false,853.2895080404745,0.0,0.0,0.0,BBOX_TOO_SMALL
650,23.055,,,650,false,858.1423076069202,0.0,0.0,0.0,BBOX_TOO_SMALL
655,23.122,,,655,false,868.3311907659407,0.0,0.0,0.0,BBOX_TOO_SMALL
660,23.323,,,660,false,889.4070982416995,0.0,0.0,0.0,BBOX_TOO_SMALL
665,23.489,,,665,false,905.4357983746711,0.0,0.0,0.0,BBOX_TOO_SMALL
670,23.656,,,670,false,917.7082348198072,0.0,0.0,0.0,BBOX_TOO_SMALL
675,23.855,,,675,false,927.1655436953927,0.0,0.0,0.0,BBOX_TOO_SMALL
680,24.055,,,680,false,929.2175671943709,0.0,0.0,0.0,BBOX_TOO_SMALL
685,24.222,,,685,false,928.4725439054439,0.0,0.0,0.0,BBOX_TOO_SMALL
690,24.438,,,690,false,925.0774304883151,0.0,0.0,0.0,BBOX_TOO_SMALL
695,24.589,,,695,false,921.4370850328596,0.0,0.0,0.0,BBOX_TOO_SMALL
700,24.755,,,700,false,916.0534858645957,0.0,0.0,0.0,BBOX_TOO_SMALL
705,24.989,,,705,false,906.8903306000967,0.0,0.0,0.0,BBOX_TOO_SMALL
710,25.189,,,710,false,898.3766258006447,0.0,0.0,0.0,BBOX_TOO_SMALL
715,25.422,,,715,false,886.5481142337289,0.0,0.0,0.0,BBOX_TOO_SMALL
720,25.589,,,720,false,878.8413893444059,0.0,0.0,0.0,BBOX_TOO_SMALL
725,25.755,,,725,false,870.9161962302165,0.0,0.0,0.0,BBOX_TOO_SMALL
730,25.955,,,730,false,860.6130887196709,0.0,0.0,0.0,BBOX_TOO_SMALL
735,26.123,,,735,false,851.3869512025228,0.0,0.0,0.0,BBOX_TOO_SMALL
740,26.322,,,740,false,840.1780128941936,0.0,0.0,0.0,BBOX_TOO_SMALL
745,26.492,,,745,false,830.5074698158359,0.0,0.0,0.0,BBOX_TOO_SMALL
750,26.655,,,750,false,821.3744811589045,0.0,0.0,0.0,BBOX_TOO_SMALL
755,26.856,,,755,false,809.4218275257533,0.0,0.0,0.0,BBOX_TOO_SMALL
760,27.022,,,760,false,800.2648814985271,0.0,0.0,0.0,BBOX_TOO_SMALL
765,27.191,,,765,false,790.5018986061132,0.0,0.0,0.0,BBOX_TOO_SMALL
770,27.355,,,770,false,781.36847418452,0.0,0.0,0.0,BBOX_TOO_SMALL
775,27.555,,,775,false,769.4811305894244,0.0,0.0,0.0,BBOX_TOO_SMALL
780,27.722,,,780,false,761.4531237564438,0.0,0.0,0.0,BBOX_TOO_SMALL
785,27.922,,,785,false,754.138011174211,0.0,0.0,0.0,BBOX_TOO_SMALL
790,28.102,,,790,false,746.5278477477736,0.0,0.0,0.0,BBOX_TOO_SMALL
795,28.256,,,795,false,739.8297033930119,0.0,0.0,0.0,BBOX_TOO_SMALL
800,28.422,,,800,false,733.5516394013578,0.0,0.0,0.0,BBOX_TOO_SMALL
805,28.623,,,805,false,727.1070686979814,0.0,0.0,0.0,BBOX_TOO_SMALL
810,28.791,,,810,false,721.6993056194665,0.0,0.0,0.0,BBOX_TOO_SMALL
815,28.99,,,815,false,716.4133452433668,0.0,0.0,0.0,BBOX_TOO_SMALL
820,29.155,,,820,false,712.9268291410599,0.0,0.0,0.0,BBOX_TOO_SMALL
825,29.327,,,825,false,704.4706744515286,0.0,0.0,0.0,BBOX_TOO_SMALL
830,29.489,,,830,false,687.1459202334827,0.0,0.0,0.0,BBOX_TOO_SMALL
835,29.689,,,835,false,664.8386486284204,0.0,0.0,0.0,BBOX_TOO_SMALL
840,29.855,,,840,false,644.5520041507657,0.0,0.0,0.0,BBOX_TOO_SMALL
845,30.022,,,845,false,622.5052384288501,0.0,16.494761571149866,0.0,BBOX_TOO_SMALL
850,30.232,,,850,false,594.7947376685651,0.0,44.20526233143494,0.0,BBOX_TOO_SMALL
855,30.389,,,855,false,572.737279074694,0.0,66.26272092530598,0.0,BBOX_TOO_SMALL
860,30.591,,,860,false,545.7415057130568,0.0,93.25849428694323,0.0,BBOX_TOO_SMALL
865,30.755,,,865,false,523.9249040531904,0.0,115.0750959468096,0.0,BBOX_TOO_SMALL
870,30.968,,,870,false,489.31093126192695,0.0,149.68906873807305,0.0,BBOX_TOO_SMALL
875,31.123,,,875,false,477.72086706357805,0.0,161.27913293642195,0.0,BBOX_TOO_SMALL
880,31.289,,,880,false,478.0435434903783,0.0,160.95645650962172,0.0,BBOX_TOO_SMALL
885,31.455,,,885,false,478.043709765062,0.0,160.95629023493802,0.0,BBOX_TOO_SMALL
890,31.622,,,890,false,478.0456770634554,0.0,160.9543229365446,0.0,BBOX_TOO_SMALL
895,31.79,,,895,false,478.04623530217054,0.0,160.95376469782946,0.0,BBOX_TOO_SMALL
900,31.955,,,900,false,478.0461819246798,0.0,160.9538180753202,0.0,BBOX_TOO_SMALL
905,32.122,,,905,false,477.9643089050761,0.0,161.0356910949239,0.0,BBOX_TOO_SMALL
910,32.122,,,910,false,477.9643089050761,0.0,161.0356910949239,0.0,BBOX_TOO_SMALL
915,32.19,,,915,false,474.0843220930815,0.0,164.91567790691852,0.0,BBOX_TOO_SMALL
920,32.391,,,920,false,448.85105125521636,0.0,190.14894874478364,0.0,BBOX_TOO_SMALL
925,32.556,,,925,false,423.95895387066656,0.0,215.04104612933344,0.0,BBOX_TOO_SMALL
930,32.723,,,930,false,395.4619943753082,0.0,243.53800562469178,0.0,BBOX_TOO_SMALL
935,32.889,,,935,false,372.6214110159602,0.0,266.3785889840398,0.0,BBOX_TOO_SMALL
940,33.056,,,940,false,337.24465615206736,0.0,245.5476764291492,0.0,BBOX_TOO_SMALL
945,33.222,,,945,false,313.7116560743495,0.0,232.1914194247293,0.0,BBOX_TOO_SMALL
950,33.389,,,950,false,276.17831024241923,0.0,222.79697446958272,0.0,BBOX_TOO_SMALL
955,33.556,,,955,false,240.45810213218368,0.0,213.35944301216415,0.0,BBOX_TOO_SMALL
960,33.757,,,960,false,186.49956448703318,0.0,222.29199651527142,0.0,BBOX_TOO_SMALL
965,33.923,,,965,false,145.68486178850316,0.0,230.4857454662441,0.0,BBOX_TOO_SMALL
970,34.09,,,970,false,101.87953901799719,0.0,238.89777876849806,0.0,BBOX_TOO_SMALL
975,34.256,,,975,false,38.90777440711008,0.0,258.8013507384004,0.0,BBOX_TOO_SMALL
980,34.457,,,980,false,0.0,0.0,256.3820630401764,0.0,BBOX_TOO_SMALL
985,34.656,,,985,false,0.0,0.0,217.04861477504312,0.0,BBOX_TOO_SMALL
990,34.822,,,990,false,0.0,0.0,178.0374337541647,0.0,BBOX_TOO_SMALL
995,34.991,,,995,false,0.0,0.0,140.53097361063254,0.0,BBOX_TOO_SMALL
1000,35.156,,,1000,false,0.0,0.0,109.68390526331038,0.0,BBOX_TOO_SMALL
1005,35.323,,,1005,false,0.0,0.0,79.45094648812992,0.0,BBOX_TOO_SMALL
1010,35.489,,,1010,false,0.0,0.0,59.048772702022575,0.0,BBOX_TOO_SMALL
1015,35.699,,,1015,false,0.0,0.0,31.142673964625942,0.0,BBOX_TOO_SMALL
1020,35.856,,,1020,false,0.0,0.0,11.287006593209185,0.0,BBOX_TOO_SMALL
1025,36.028,,,1025,false,0.0,0.0,0.0,0.0,BBOX_TOO_SMALL
1030,36.191,,,1030,false,0.0,0.0,0.0,0.0,BBOX_TOO_SMALL
1035,36.356,,,1035,false,0.0,0.0,0.0,0.0,BBOX_TOO_SMALL
1040,36.522,,,1040,false,0.0,0.0,0.0,0.0,BBOX_TOO_SMALL
1045,36.689,,,1045,false,0.0,0.0,0.0,0.0,BBOX_TOO_SMALL
1050,36.856,,,1050,false,0.0,0.0,0.0,0.0,BBOX_TOO_SMALL
1055,37.022,,,1055,false,0.0,0.0,0.0,9.48307269875815,BBOX_TOO_SMALL
1060,37.189,,,1060,false,0.0,0.0,0.0,35.68551082398184,BBOX_TOO_SMALL
1065,37.363,,,1065,false,0.0,0.0,0.0,57.39297968897688,BBOX_TOO_SMALL
1070,37.533,,,1070,false,0.0,0.0,0.0,79.9424586681289,BBOX_TOO_SMALL
1075,37.696,,,1075,false,0.0,0.0,0.0,104.16370777545538,BBOX_TOO_SMALL
1080,37.856,,,1080,false,0.0,0.0,0.0,134.6074243984811,BBOX_TOO_SMALL
1085,38.022,,,1085,false,0.0,0.0,0.0,165.7052998169978,BBOX_TOO_SMALL
1090,38.189,,,1090,false,0.0,0.0,0.0,192.3494486480196,BBOX_TOO_SMALL
1095,38.357,,,1095,false,0.0,0.0,0.0,225.07066583004422,BBOX_TOO_SMALL
1100,38.557,,,1100,false,0.0,51.1706268023803,0.0,230.26281744382095,BBOX_TOO_SMALL
1105,38.723,,,1105,false,0.0,99.12486022529743,0.0,221.89494623369455,BBOX_TOO_SMALL
1110,38.889,,,1110,false,0.0,126.00346985561315,0.0,217.09334862188706,BBOX_TOO_SMALL
1115,39.057,,,1115,false,0.0,137.97429052940691,0.0,214.95161515567338,BBOX_TOO_SMALL
1120,39.223,,,1120,false,0.0,144.933116536941,0.0,213.7063352747714,BBOX_TOO_SMALL
1125,39.389,,,1125,false,0.0,152.59342827754404,0.0,212.34715092293447,BBOX_TOO_SMALL
1130,39.589,,,1130,false,0.0,157.99336045631247,0.0,212.7580097683985,BBOX_TOO_SMALL
1135,39.789,,,1135,false,0.0,164.27182508494036,0.0,214.0788164799547,BBOX_TOO_SMALL
1140,39.962,,,1140,false,0.0,168.6016792069336,0.0,214.96590995349,BBOX_TOO_SMALL
1145,40.125,,,1145,false,0.0,171.2478954599604,0.0,215.50254432572135,BBOX_TOO_SMALL
1150,40.298,,,1150,false,0.0,175.02215646504072,0.0,216.25625098458391,BBOX_TOO_SMALL
1155,40.49,,,1155,false,0.0,179.24780615429808,0.0,217.07986240748863,BBOX_TOO_SMALL
1160,40.656,,,1160,false,0.0,182.19169157513463,0.0,217.64438568193023,BBOX_TOO_SMALL
1165,40.822,,,1165,false,0.0,183.9550563962738,0.0,217.9813252001112,BBOX_TOO_SMALL
1170,41.022,,,1170,false,0.0,185.90190335440153,0.0,218.3493103065093,BBOX_TOO_SMALL
