time_sec,mission_state,lidar_state,target_class,confidence,bird_confirmed,sound_state,bird_removal_state,removed_bird_count,safety_state,image_count,gt_used_for_decision
1.5,UNKNOWN,UNKNOWN,none,0.0,false,UNKNOWN,UNKNOWN,0,UNKNOWN,0,false
2.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=136 cluster=136 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=1 missed_frames=0 estimated_target_speed_mps=0.000 lidar_target_valid=True lidar_target_age_sec=0.200,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,11,false
3.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=218 cluster=218 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=3 missed_frames=0 estimated_target_speed_mps=0.026 lidar_target_valid=True lidar_target_age_sec=0.300,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=1.18,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,36,false
4.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=270 cluster=270 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=10 missed_frames=0 estimated_target_speed_mps=0.254 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=3.22,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,67,false
5.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=242 cluster=242 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=13 missed_frames=0 estimated_target_speed_mps=2.027 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=5.41,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,96,false
6.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=28 cluster=28 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=18 missed_frames=0 estimated_target_speed_mps=4.126 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=7.62,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,133,false
7.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=18 missed_frames=0 estimated_target_speed_mps=4.126 lidar_target_valid=True lidar_target_age_sec=1.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=9.83,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,167,false
8.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=88 cluster=88 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=23 missed_frames=0 estimated_target_speed_mps=0.677 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=11.86,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,199,false
9.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=118 cluster=118 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=28 missed_frames=0 estimated_target_speed_mps=0.114 lidar_target_valid=True lidar_target_age_sec=0.200,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=14.16,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,228,false
10.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=178 cluster=178 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=32 missed_frames=0 estimated_target_speed_mps=0.075 lidar_target_valid=True lidar_target_age_sec=0.200,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=16.39,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,260,false
