pc_stamp_sec,tracker_receive_time_sec,filter_done_time_sec,pc_age_at_receive_ms,filter_runtime_ms,filter_runtime_wall_ms,pc_stamp_to_filter_done_ms,pc_stamp_to_filter_done_sim_ms,raw_points,roi_points,cluster_points,roi_ratio,cluster_ratio,tf_ok,target_ok,target_lost,source,provenance,detector_mode,fallback_allowed,decision_allowed,moving,track_id,track_age_frames,missed_frames,estimated_target_speed_mps,lidar_target_x_m,lidar_target_y_m,lidar_target_z_m,lidar_target_valid,lidar_target_age_sec
1.6,1.7000000000000002,1.7000000000000002,100.00000000000009,169.120988000941,169.120988000941,100.00000000000009,100.00000000000009,80000,136,136,0.0017,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,False,1,1,0,0.0,3.4458698803286754,3.4809321514357774,3.3532639451253092,True,0.0
1.9,2.0,2.0,100.00000000000009,189.38312999671325,189.38312999671325,100.00000000000009,100.00000000000009,80000,154,154,0.001925,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,2,0,0.12164323642162174,3.44947757785309,3.4705957670579566,3.3522749565649246,True,0.0
2.5,2.6,2.6,100.00000000000009,174.76585999975214,174.76585999975214,100.00000000000009,100.00000000000009,80000,218,218,0.002725,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,3,0,0.02640381635991278,3.452462269013911,3.4742943683976035,3.4134431580056033,True,0.0
2.8,2.9000000000000004,2.9000000000000004,100.00000000000054,165.1193220022833,165.1193220022833,100.00000000000054,100.00000000000054,80000,244,244,0.00305,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,4,0,0.06757811966825483,3.45843458305992,3.4754443958863233,3.4556375838715265,True,0.0
3.0,3.0,3.0,0.0,191.22526200226275,191.22526200226275,0.0,0.0,80000,274,274,0.003425,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,5,0,1.0861615077882414,3.4910078092672423,3.4745742962671193,3.4307775014040542,True,0.0
3.2,3.2,3.2,0.0,165.47031499794684,165.47031499794684,0.0,0.0,80000,238,238,0.002975,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,6,0,0.11083758902254201,3.484730053737833,3.4723798301320046,3.46731335176049,True,0.0
3.3,3.4000000000000004,3.4000000000000004,100.00000000000054,180.07431399746565,180.07431399746565,100.00000000000054,100.00000000000054,80000,266,266,0.003325,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,7,0,0.08646065602641786,3.4879978604445334,3.476408855010745,3.4409479322184486,True,0.0
3.5,3.5,3.5,0.0,182.8551119979238,182.8551119979238,0.0,0.0,80000,266,266,0.003325,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,8,0,0.2452397167861814,3.495345009426792,3.4767931318028134,3.4728860618011135,True,0.0
3.6,3.7,3.7,100.00000000000009,160.47170200181426,160.47170200181426,100.00000000000009,100.00000000000009,80000,252,252,0.00315,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,9,0,0.1578946361812361,3.5023933442764674,3.4831233414306335,3.444044860784161,True,0.0
3.7,3.8000000000000003,3.8000000000000003,100.00000000000009,198.5353819982265,198.5353819982265,100.00000000000009,100.00000000000009,80000,270,270,0.003375,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,10,0,0.2544413069413079,3.5083790880353987,3.4878601349096243,3.4730863583828464,True,0.0
4.3,4.4,4.4,100.00000000000054,158.18435099936323,158.18435099936323,100.00000000000054,100.00000000000054,80000,276,276,0.00345,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,11,0,0.2056969072681836,3.540583434165945,3.5061293314567656,3.4746737129302305,True,0.0
4.6,4.7,4.7,100.00000000000054,181.08987100276863,181.08987100276863,100.00000000000054,100.00000000000054,80000,274,274,0.003425,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,12,0,0.26763112018929036,3.5567504444792872,3.523984351790774,3.5016775391348496,True,0.0
4.7,4.800000000000001,4.800000000000001,100.00000000000054,171.16647100192495,171.16647100192495,100.00000000000054,100.00000000000054,80000,242,242,0.003025,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,13,0,2.027041851240078,3.613232761652473,3.546517807956186,3.4528679883667466,True,0.0
4.9,5.0,5.0,99.99999999999964,183.45740500080865,183.45740500080865,99.99999999999964,99.99999999999964,80000,308,308,0.00385,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,14,0,0.22386678453593215,3.615193872949587,3.5598058799181667,3.478867358851385,True,0.0
5.0,5.1000000000000005,5.1000000000000005,100.00000000000054,186.19346000195947,186.19346000195947,100.00000000000054,100.00000000000054,80000,188,188,0.00235,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,15,0,2.001469459271733,3.6164634436248355,3.619836540309822,3.4384794507710383,True,0.0
5.5,5.5,5.5,0.0,162.11192499758909,162.11192499758909,0.0,0.0,80000,128,128,0.0016,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,16,0,1.1859671578986015,3.550802166721782,3.7460999845441028,3.4614531313750554,True,0.0
5.6,5.7,5.7,100.00000000000054,176.43033000058495,176.43033000058495,100.00000000000054,100.00000000000054,80000,66,66,0.000825,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,17,0,2.688934178833362,3.506921790050261,3.9013540788808356,3.439895921048895,True,0.0
5.8,5.800000000000001,5.800000000000001,8.881784197001252e-13,175.25426199426875,175.25426199426875,8.881784197001252e-13,8.881784197001252e-13,80000,28,28,0.00035,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,18,0,4.126498515873694,3.4757248044724722,4.021153657729078,3.476664122135988,True,0.0
5.9,6.0,6.0,99.99999999999964,162.62898500281153,162.62898500281153,99.99999999999964,99.99999999999964,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,True,1,18,0,4.126498515873694,,,,False,0.1999999999999993
6.2,6.300000000000001,6.300000000000001,100.00000000000054,159.83012299693655,159.83012299693655,100.00000000000054,100.00000000000054,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,True,1,18,0,4.126498515873694,,,,False,0.5
6.4,6.4,6.4,0.0,155.5244010014576,155.5244010014576,0.0,0.0,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,True,1,18,0,4.126498515873694,,,,False,0.5999999999999996
6.5,6.6000000000000005,6.6000000000000005,100.00000000000054,169.88799999671755,169.88799999671755,100.00000000000054,100.00000000000054,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,True,1,18,0,4.126498515873694,,,,False,0.7999999999999998
6.7,6.7,6.7,0.0,162.16895000252407,162.16895000252407,0.0,0.0,80000,0,0,0.0,0.0,False,False,True,none,lidar,lidar,False,True,True,1,18,0,4.126498515873694,,,,False,0.8999999999999995
