time_sec,mission_state,lidar_state,target_class,confidence,bird_confirmed,sound_state,bird_removal_state,removed_bird_count,safety_state,image_count,gt_used_for_decision
1.9000000000000001,UNKNOWN,UNKNOWN,none,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_COMMAND_TIMEOUT_STOP SCAN_DISABLED_TEST_ONLY,0,false
2.0,IDLE mode=AUTO nav_goal=NONE,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=0 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True track_id=-1 track_age_frames=0 missed_frames=0 estimated_target_speed_mps=0.000 lidar_target_valid=False lidar_target_age_sec=1000000000.000,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,1,false
3.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=286 cluster=286 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=4 missed_frames=0 estimated_target_speed_mps=0.209 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=0.63,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,25,false
4.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=282 cluster=282 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=7 missed_frames=0 estimated_target_speed_mps=0.694 lidar_target_valid=True lidar_target_age_sec=0.500,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=2.79,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,53,false
5.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=262 cluster=262 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=11 missed_frames=0 estimated_target_speed_mps=0.372 lidar_target_valid=True lidar_target_age_sec=0.500,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=4.79,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,81,false
6.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=224 cluster=224 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=17 missed_frames=0 estimated_target_speed_mps=0.866 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=6.80,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,114,false
7.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=2 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=20 missed_frames=0 estimated_target_speed_mps=3.675 lidar_target_valid=True lidar_target_age_sec=0.500,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=8.97,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,142,false
8.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=32 cluster=32 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=24 missed_frames=0 estimated_target_speed_mps=3.158 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=11.00,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,172,false
9.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=100 cluster=100 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=29 missed_frames=0 estimated_target_speed_mps=0.144 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=13.17,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,198,false
10.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=162 cluster=162 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=33 missed_frames=0 estimated_target_speed_mps=0.256 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=15.18,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,224,false
11.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=188 cluster=188 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=38 missed_frames=0 estimated_target_speed_mps=0.043 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=17.34,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,254,false
12.0,TARGET_REACHED mode=AUTO nav_goal=NONE,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=120 cluster=120 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=41 missed_frames=0 estimated_target_speed_mps=0.129 lidar_target_valid=True lidar_target_age_sec=0.300,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=19.51,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,281,false
13.100000000000001,CAMERA_ALIGN_TO_TARGET mode=AUTO nav_goal=NONE,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=56 cluster=56 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=47 missed_frames=0 estimated_target_speed_mps=0.298 lidar_target_valid=True lidar_target_age_sec=0.200,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=21.79,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,311,false
14.0,CAMERA_ALIGN_TO_TARGET mode=AUTO nav_goal=NONE,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=36 cluster=36 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=48 missed_frames=0 estimated_target_speed_mps=1.757 lidar_target_valid=True lidar_target_age_sec=0.400,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=23.69,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,335,false
15.000000000000002,SOUND_TASK_RUNNING mode=AUTO nav_goal=NONE,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=54 cluster=54 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=51 missed_frames=0 estimated_target_speed_mps=1.064 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,SOUND_TASK_RUNNING enable_sound_output=False,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=25.86,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,369,false
16.0,SOUND_TASK_RUNNING mode=AUTO nav_goal=NONE,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=53 missed_frames=0 estimated_target_speed_mps=1.436 lidar_target_valid=True lidar_target_age_sec=0.600,bird,0.9200000166893005,true,COOLDOWN_BIRD_CONFIRMED,FLEE_STARTED bird=bird_1 removed_count=0 robot_x=1.933 robot_y=1.880 bird_x=4.000 bird_y=4.000 flee_dir_x=0.698 flee_dir_y=0.716 sound_done_seen=True flee_started_from_sound=True,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,396,false
