pc_stamp_sec,tracker_receive_time_sec,filter_done_time_sec,pc_age_at_receive_ms,filter_runtime_ms,filter_runtime_wall_ms,pc_stamp_to_filter_done_ms,pc_stamp_to_filter_done_sim_ms,raw_points,roi_points,cluster_points,roi_ratio,cluster_ratio,tf_ok,target_ok,target_lost,source,provenance,detector_mode,fallback_allowed,decision_allowed,moving,track_id,track_age_frames,missed_frames,estimated_target_speed_mps,lidar_target_x_m,lidar_target_y_m,lidar_target_z_m,lidar_target_valid,lidar_target_age_sec
2.0,2.1,2.1,100.00000000000009,182.62136999692302,182.62136999692302,100.00000000000009,100.00000000000009,80000,136,136,0.0017,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,False,1,1,0,0.0,3.445808134738193,3.4809221492506595,3.353658052081358,True,0.0
2.2,2.2,2.2,0.0,190.6160889993771,190.6160889993771,0.0,0.0,80000,226,226,0.002825,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,2,0,0.4463796171182204,3.4477152594365332,3.4676672572591816,3.3662446555526344,True,0.0
2.3,2.4000000000000004,2.4000000000000004,100.00000000000054,175.03092800325248,175.03092800325248,100.00000000000054,100.00000000000054,80000,154,154,0.001925,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,3,0,0.12413612649710225,3.4447730823286706,3.4608248312046226,3.36047315656565,True,0.0
2.8,2.8000000000000003,2.8000000000000003,4.440892098500626e-13,176.98701599874767,176.98701599874767,4.440892098500626e-13,4.440892098500626e-13,80000,286,286,0.003575,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,4,0,0.2093584209292869,3.4200397913879312,3.4564168865132268,3.377052793520733,True,0.0
2.9,3.0,3.0,100.00000000000009,174.16510300245136,174.16510300245136,100.00000000000009,100.00000000000009,80000,216,216,0.0027,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,5,0,0.1678035475991402,3.4288876256731995,3.461221544521151,3.4283825546696987,True,0.0
3.2,3.3000000000000003,3.3000000000000003,100.00000000000009,169.35045400168747,169.35045400168747,100.00000000000009,100.00000000000009,80000,222,222,0.002775,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,6,0,0.1051237070419361,3.432841338538365,3.4698169621500945,3.4681176774271716,True,0.0
3.4,3.4000000000000004,3.4000000000000004,4.440892098500626e-13,199.12439699692186,199.12439699692186,4.440892098500626e-13,4.440892098500626e-13,80000,282,282,0.003525,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,7,0,0.6942555290067897,3.4536646110622504,3.4702447319443,3.4445005932383204,True,0.0
3.8,3.9000000000000004,3.9000000000000004,100.00000000000054,174.40483799873618,174.40483799873618,100.00000000000054,100.00000000000054,80000,242,242,0.003025,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,8,0,0.08315500771760145,3.4659379387297857,3.4724690121440256,3.4816652056045916,True,0.0
4.0,4.1000000000000005,4.1000000000000005,100.00000000000054,175.2855329978047,175.2855329978047,100.00000000000054,100.00000000000054,80000,266,266,0.003325,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,9,0,0.40737343927741404,3.49037139593775,3.4731303723861893,3.4568091243835157,True,0.0
4.2,4.2,4.2,0.0,171.31121700367657,171.31121700367657,0.0,0.0,80000,244,244,0.00305,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,10,0,0.6156110478813199,3.4949043551774537,3.491033767220057,3.4809614480891877,True,0.0
4.3,4.4,4.4,100.00000000000054,172.34551099681994,172.34551099681994,100.00000000000054,100.00000000000054,80000,262,262,0.003275,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,11,0,0.3724067886664713,3.5154696560864522,3.499771097304463,3.453463592560537,True,0.0
5.0,5.0,5.0,0.0,168.46595599781722,168.46595599781722,0.0,0.0,80000,274,274,0.003425,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,12,0,0.31719158458642016,3.5639914814618505,3.529861173831626,3.4243142278108154,True,0.0
5.1,5.2,5.2,100.00000000000054,174.99379800574388,174.99379800574388,100.00000000000054,100.00000000000054,80000,264,264,0.0033,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,13,0,0.2601454010875752,3.5761338993230094,3.5396690255551304,3.468298462142088,True,0.0
5.3,5.300000000000001,5.300000000000001,8.881784197001252e-13,175.24100800073938,175.24100800073938,8.881784197001252e-13,8.881784197001252e-13,80000,238,238,0.002975,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,14,0,2.003739009631597,3.63335156085797,3.5580975964524666,3.4244674731115166,True,0.0
5.4,5.5,5.5,99.99999999999964,169.717203003529,169.717203003529,99.99999999999964,99.99999999999964,80000,284,284,0.00355,1.0,True,True,False,lidar_cluster,lidar,lidar,False,True,True,1,15,0,0.41454717859753676,3.6197348617187535,3.5789120916990846,3.4562721929007036,True,0.0
