time_sec,state
11.9,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.560 tilt_cmd=-0.700 joint_publish=False
12.0,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.560 tilt_cmd=-0.700 joint_publish=False
12.100000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.566 tilt_cmd=-0.700 joint_publish=False
12.200000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.566 tilt_cmd=-0.700 joint_publish=False
12.3,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.566 tilt_cmd=-0.700 joint_publish=False
12.4,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.537 tilt_cmd=-0.700 joint_publish=False
12.5,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.537 tilt_cmd=-0.700 joint_publish=False
12.600000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.537 tilt_cmd=-0.700 joint_publish=False
12.700000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.529 tilt_cmd=-0.700 joint_publish=False
12.8,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.529 tilt_cmd=-0.700 joint_publish=False
12.9,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.529 tilt_cmd=-0.700 joint_publish=False
13.0,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.501 tilt_cmd=-0.700 joint_publish=False
13.100000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.350 tilt_cmd=-0.700 joint_publish=False
13.200000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.360 tilt_cmd=-0.700 joint_publish=False
13.3,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.327 tilt_cmd=-0.700 joint_publish=False
13.4,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.327 tilt_cmd=-0.700 joint_publish=False
13.5,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.293 tilt_cmd=-0.700 joint_publish=False
13.600000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.253 tilt_cmd=-0.700 joint_publish=False
13.700000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.221 tilt_cmd=-0.700 joint_publish=False
13.8,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.221 tilt_cmd=-0.700 joint_publish=False
13.9,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.157 tilt_cmd=-0.700 joint_publish=False
14.0,CAMERA_ALIGNMENT mode=logical centered=True bearing=-0.020 tilt_cmd=-0.700 joint_publish=False
14.100000000000001,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.012 tilt_cmd=-0.700 joint_publish=False
14.200000000000001,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.012 tilt_cmd=-0.700 joint_publish=False
14.3,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.125 tilt_cmd=-0.700 joint_publish=False
14.4,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.125 tilt_cmd=-0.700 joint_publish=False
14.500000000000002,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.136 tilt_cmd=-0.700 joint_publish=False
14.600000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.200 tilt_cmd=-0.700 joint_publish=False
14.700000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.200 tilt_cmd=-0.700 joint_publish=False
14.8,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.239 tilt_cmd=-0.700 joint_publish=False
14.9,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.253 tilt_cmd=-0.700 joint_publish=False
15.000000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.253 tilt_cmd=-0.700 joint_publish=False
15.100000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.255 tilt_cmd=-0.700 joint_publish=False
15.200000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.255 tilt_cmd=-0.700 joint_publish=False
15.3,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.209 tilt_cmd=-0.700 joint_publish=False
15.4,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.224 tilt_cmd=-0.700 joint_publish=False
15.500000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.224 tilt_cmd=-0.700 joint_publish=False
15.600000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.190 tilt_cmd=-0.700 joint_publish=False
15.700000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.190 tilt_cmd=-0.700 joint_publish=False
15.8,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.140 tilt_cmd=-0.700 joint_publish=False
15.9,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.011 tilt_cmd=-0.700 joint_publish=False
16.0,CAMERA_ALIGNMENT mode=logical centered=True bearing=-0.093 tilt_cmd=-0.700 joint_publish=False
16.1,CAMERA_ALIGNMENT mode=logical centered=True bearing=-0.106 tilt_cmd=-0.700 joint_publish=False
16.2,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.167 tilt_cmd=-0.700 joint_publish=False
16.3,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.176 tilt_cmd=-0.700 joint_publish=False
16.400000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=-0.176 tilt_cmd=-0.700 joint_publish=False
67.9,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
68.0,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
68.10000000000001,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
68.10000000000001,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
68.3,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
68.4,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
68.5,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
68.60000000000001,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
68.7,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
68.80000000000001,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
68.9,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
69.0,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
69.10000000000001,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
69.2,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
69.30000000000001,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
69.4,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
69.5,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
69.60000000000001,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
69.7,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
69.80000000000001,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
69.9,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
70.0,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.074 tilt_cmd=-0.549 joint_publish=False
