time_sec,mission_state,lidar_state,target_class,confidence,bird_confirmed,sound_state,bird_removal_state,removed_bird_count,safety_state,image_count,gt_used_for_decision
1.9000000000000001,UNKNOWN,UNKNOWN,none,0.0,false,UNKNOWN,UNKNOWN,0,UNKNOWN,0,false
2.0,IDLE mode=AUTO nav_goal=NONE,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=0 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True track_id=-1 track_age_frames=0 missed_frames=0 estimated_target_speed_mps=0.000 lidar_target_valid=False lidar_target_age_sec=1000000000.000,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,1,false
3.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=280 cluster=280 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=2 missed_frames=0 estimated_target_speed_mps=0.135 lidar_target_valid=True lidar_target_age_sec=0.100,unknown,0.0,false,IDLE_NO_REQUEST,UNKNOWN,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,26,false
4.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=246 cluster=246 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=8 missed_frames=0 estimated_target_speed_mps=0.249 lidar_target_valid=True lidar_target_age_sec=0.200,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=1.55,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,52,false
5.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=294 cluster=294 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=14 missed_frames=0 estimated_target_speed_mps=0.902 lidar_target_valid=True lidar_target_age_sec=0.100,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=3.56,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,82,false
6.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=224 cluster=224 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=19 missed_frames=0 estimated_target_speed_mps=0.440 lidar_target_valid=True lidar_target_age_sec=0.300,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=5.75,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,111,false
7.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=106 cluster=106 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=23 missed_frames=0 estimated_target_speed_mps=4.992 lidar_target_valid=True lidar_target_age_sec=0.300,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=7.74,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,139,false
8.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=23 missed_frames=0 estimated_target_speed_mps=4.992 lidar_target_valid=True lidar_target_age_sec=1.300,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=9.96,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,171,false
9.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=64 cluster=64 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=26 missed_frames=0 estimated_target_speed_mps=3.981 lidar_target_valid=True lidar_target_age_sec=0.300,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=12.31,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,202,false
10.0,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=206 cluster=206 tf_ok=True fallback_allowed=False decision_allowed=True track_id=1 track_age_frames=31 missed_frames=0 estimated_target_speed_mps=0.244 lidar_target_valid=True lidar_target_age_sec=0.300,bird,0.9200000166893005,true,IDLE_NO_REQUEST,WAIT_SOUND_DONE bird=bird_1 detected_hold_sec=14.25,0,AUTO_PASS SCAN_DISABLED_TEST_ONLY,232,false
