time_sec,event_type,goal_role,mission_state,is_target_related_goal,bird_name,bird_state,bird_x_m,bird_y_m,bird_z_m,bird_speed_xy_mps,bird_speed_3d_mps,goal_frame,goal_x_m,goal_y_m,goal_z_m,goal_yaw_rad,waver_x_m,waver_y_m,waver_yaw_rad,goal_to_bird_xy_m,goal_to_bird_3d_m,robot_to_goal_xy_m,robot_to_bird_xy_m,configured_offset_m,standoff_error_m,lidar_target_x_m,lidar_target_y_m,lidar_target_z_m,lidar_target_valid,lidar_track_id,goal_to_lidar_target_xy_m,goal_to_lidar_target_3d_m,lidar_target_to_bird_xy_m,standoff_error_to_bird_m,standoff_error_to_lidar_target_m
1.9000000000000001,active_nav_goal,UNKNOWN,UNKNOWN,false,,,nan,nan,nan,0.0,0.0,odom,4.0,0.0,0.0,0.0,1.8205026806102402e-20,4.370043756696918e-24,1.6407368029958414e-24,nan,nan,4.0,nan,2.0,,nan,nan,nan,false,-1,nan,nan,nan,,
2.9000000000000004,object_mission_goal,TARGET_INSPECTION,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,true,nearest,,4.0,4.0,3.39541091969135,0.0,0.0,odom,2.1024946651526393,2.0147296463092794,0.0,0.8161286164045499,0.20794637852895512,9.952967021488622e-06,-9.049599799832814e-05,2.746238313223649,4.366994411099782,2.7655756458809546,5.511768413537942,2.0,0.7462383132236492,3.472587932675748,3.4717280808615794,3.3732670176384474,true,1.0,2.0000000000000004,3.92159793608261,0.7464815532278285,0.7462383132236492,4.440892098500626e-16
3.0,active_nav_goal,TARGET_INSPECTION,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,true,nearest,,4.0,4.0,3.39541091969135,0.0,0.0,odom,2.1024946651526393,2.0147296463092794,0.0,0.8161286164045499,0.2386300169019843,1.1016044552229911e-05,-0.00010244179710508148,2.746238313223649,4.366994411099782,2.744646167748097,5.490702689229831,2.0,0.7462383132236492,3.472587932675748,3.4717280808615794,3.3732670176384474,true,1.0,2.0000000000000004,3.92159793608261,0.7464815532278285,0.7462383132236492,4.440892098500626e-16
11.0,object_mission_goal,TARGET_INSPECTION,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,true,nearest,,4.0,4.0,3.4,0.0,0.0,odom,2.6129896744328707,2.196379062734943,0.0,0.6882664474335031,1.981207279209665,1.6767848875113691,1.1628148629855772,2.2752683640772395,4.091069069151817,0.8180018959881674,3.0777999461322376,2.0,0.27526836407723954,4.157686326902107,3.4667775245768704,3.38605560229183,true,1.0,2.0,3.9326037865276855,0.5560496254726266,0.27526836407723954,0.0
19.200000000000003,active_nav_goal,TARGET_INSPECTION,SOUND_TASK_DONE mode=AUTO nav_goal=NONE,true,nearest,,8.854675414962813,9.404900610027395,3.298614592247642,0.0,0.0,odom,4.0,0.0,0.0,0.0,2.0417995869534766,1.821529028567636,0.8776599660158072,10.583951477077832,11.086067251163827,2.6744189760712755,10.194253361103273,2.0,8.583951477077832,4.32928009278484,3.7086571725923925,3.3645411092580653,false,1.0,3.723246352757952,5.018236769943491,7.275052722868173,8.583951477077832,1.7232463527579518
20.8,object_mission_goal,TARGET_INSPECTION,RETURN_TO_INTERRUPTED_WAYPOINT mode=AUTO nav_goal=RETURN_TO_INTERRUPTED_WAYPOINT,true,nearest,,4.0,-4.0,3.3406440006875027,0.0,0.0,odom,3.1894622349472894,-1.6499577073875413,0.0,-1.252718901591649,2.0451264041048995,1.8255512498670308,0.5293725710049593,2.4858942547187852,4.164081241399268,3.659052747051688,6.144800903264089,2.0,0.4858942547187852,3.814944243516009,-3.5496345896380044,3.447616711366879,true,2.0,1.9999999999999998,3.9857321772161476,0.4869031072589196,0.4858942547187852,-2.220446049250313e-16
32.2,active_nav_goal,PATROL,RESUME_PATROL mode=AUTO nav_goal=NONE,false,nearest,,4.0,-4.0,3.4,0.0,0.0,odom,4.0,0.0,0.0,0.0,3.861921633956065,0.17392288450179944,-0.3781008055358384,4.0,5.2497618993626745,0.22206936961857016,4.176206158816538,2.0,2.0,4.050997304699722,-3.457860212834659,3.550967433948558,true,2.0,3.4582362522811523,4.956689186700614,0.5445330788063454,2.0,1.4582362522811523
33.0,active_nav_goal,PATROL,PATROL_DWELL mode=AUTO nav_goal=NONE,false,nearest,,4.0,-4.0,3.4,0.0,0.0,odom,4.0,4.0,0.0,1.5707963267948963,3.8619607713402755,0.17415972780376915,-0.36677140498376326,8.0,8.692525524840292,3.8283297424604767,4.176441578888396,2.0,6.0,4.0309453617062925,-3.459028382070797,3.5814278235206007,true,2.0,7.459092573493697,8.274339083880738,0.5418559834643082,6.0,5.459092573493697
46.1,object_mission_goal,TARGET_INSPECTION,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,true,nearest,,4.0,-4.0,3.4,0.0,0.0,odom,4.024626043397873,-1.4152349153078023,0.0,-1.57723752620157,4.052679929974441,2.940087258084666,1.6147047122179163,2.5848823928870144,4.271020602274976,4.3554125240436345,6.940287193254416,2.0,0.5848823928870144,4.011743733664089,-3.415193426401451,3.575813941185803,true,2.0,2.0000000000000004,4.09712647375923,0.5849244770091676,0.5848823928870144,4.440892098500626e-16
46.2,active_nav_goal,TARGET_INSPECTION,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,true,nearest,,4.0,-4.0,3.4,0.0,0.0,odom,4.024626043397873,-1.4152349153078023,0.0,-1.57723752620157,4.051455928529553,2.9669320143760682,1.6148870198806011,2.5848823928870144,4.271020602274976,4.382249062108536,6.967122031765987,2.0,0.5848823928870144,4.011743733664089,-3.415193426401451,3.575813941185803,true,2.0,2.0000000000000004,4.09712647375923,0.5849244770091676,0.5848823928870144,4.440892098500626e-16
54.2,object_mission_goal,TARGET_INSPECTION,APPROACH_TARGET_OFFSET mode=AUTO nav_goal=TARGET_INSPECTION,true,nearest,,4.0,-4.0,3.4,0.0,0.0,odom,4.133662563349589,-1.4311183055130137,0.0,-1.5509884976162513,4.041134707437599,3.239547705217162,-2.5146864872448806,2.572356670664376,4.263451517387234,4.671582428675513,7.239664566833953,2.0,0.5723566706643761,4.1732756312231345,-3.430725968244291,3.5107436834815204,true,2.0,1.9999999999999991,4.040460519681561,0.5950608100078306,0.5723566706643761,-8.881784197001252e-16
73.0,active_nav_goal,TARGET_INSPECTION,SOUND_TASK_DONE mode=AUTO nav_goal=NONE,true,nearest,,3.966365722447852,-11.574984250306281,3.2959081473342695,0.0,0.0,odom,4.0,4.0,0.0,1.5707963267948963,4.012416754567957,-1.199265400441146,-1.5066486932599077,15.575020566982092,15.919933296894795,5.199280227110136,10.375821044573101,2.0,13.575020566982092,4.289142483929993,-3.447012890205075,3.5018610233841407,false,2.0,7.452623991782609,8.234356987038561,8.13437786609267,13.575020566982092,5.452623991782609
95.4,active_nav_goal,RETURN_TO_INTERRUPTED_WAYPOINT,RETURN_TO_INTERRUPTED_WAYPOINT mode=AUTO nav_goal=RETURN_TO_INTERRUPTED_WAYPOINT,false,nearest,,3.9558362056854444,-13.946402025371553,3.2793434452412566,0.0,0.0,odom,4.0,4.0,0.0,1.5707963267948963,4.011122024047034,3.7858845020310294,1.626421058155598,17.94645636600687,18.243612293864263,0.2144041648135666,17.732372712404143,2.0,15.94645636600687,4.289142483929993,-3.447012890205075,3.5018610233841407,false,2.0,7.452623991782609,8.234356987038561,10.504678257175186,15.94645636600687,5.452623991782609
