metric,value
mechanism.detector_mode,lidar
mechanism.gt_leakage_in_lidar_mode_count,0
mechanism.lidar_only_decision_clean,True
mechanism.has_lidar_target_ok,True
mechanism.has_dynamic_lock,True
mechanism.has_object_mission_goal,True
mechanism.has_active_nav_goal,True
mechanism.has_active_target_nav_goal,True
mechanism.has_nonzero_cmd_vel,True
mechanism.has_nonzero_cmd_vel_after_target_goal,True
mechanism.has_odom_motion_after_target_goal,True
mechanism.has_return_resume,True
mechanism.removed_bird_count,2
mechanism.two_bird_removal_success,True
mechanism.four_bird_removal_success,False
spatial.robot_to_bird_xy_mean_m,7.426921040552931
spatial.robot_to_bird_xy_min_m,2.80031195598662
spatial.object_goal_to_bird_xy_first_m,2.746238313223649
spatial.active_goal_to_bird_xy_first_m,2.746238313223649
spatial.target_goal_to_bird_xy_first_m,2.746238313223649
spatial.target_goal_to_bird_xy_mean_m,2.532927999114213
spatial.target_goal_to_bird_xy_std_m,0.15385436615008172
spatial.target_goal_to_bird_xy_min_m,2.2752683640772395
spatial.target_goal_to_bird_xy_max_m,2.746238313223649
spatial.target_goal_to_lidar_target_xy_first_m,2.0000000000000004
spatial.target_goal_to_lidar_target_xy_mean_m,2.0
spatial.target_goal_to_lidar_target_xy_std_m,4.945168153041044e-16
spatial.goal_to_bird_xy_mean_m,2.532927999114213
spatial.goal_to_bird_xy_std_m,0.15385436615008172
spatial.standoff_error_mean_abs_m,5.71500049357355
spatial.target_goal_standoff_error_to_bird_mean_abs_m,0.5329279991142128
spatial.target_goal_standoff_error_to_lidar_target_mean_abs_m,3.9968028886505636e-16
spatial.lidar_target_to_bird_xy_mean_m,3.2855959777450856
spatial.lidar_target_to_bird_xy_p95_m,10.504678257175186
bird.speed_xy_mean_mps,
bird.speed_xy_max_mps,
bird.speed_xy_normal_mean_mps,
bird.speed_xy_flee_mean_mps,
bird.speed_3d_mean_mps,
bird.speed_3d_max_mps,
bird.motion_sample_count,0
lidar.filter_runtime_mean_ms,187.66432558096503
lidar.filter_runtime_p95_ms,211.15737999934936
lidar.filter_runtime_wall_mean_ms,187.66432558096503
lidar.filter_runtime_wall_p95_ms,211.15737999934936
lidar.pc_stamp_to_filter_done_mean_ms,64.89104116223069
lidar.pc_stamp_to_filter_done_sim_mean_ms,64.89104116223069
lidar.pc_stamp_to_filter_done_p95_ms,100.00000000000853
lidar.raw_points_mean,80000.0
lidar.roi_points_mean,112.32929782082324
lidar.cluster_points_mean,112.26634382566586
lidar.roi_ratio_mean,0.0014041162227602906
lidar.cluster_ratio_mean,0.5955020549806573
lidar.target_ok_count,229
lidar.provenance_gt_count,0
latency.pointcloud_to_lidar_target_ok_ms,100.00000000000009
latency.lidar_target_ok_to_dynamic_lock_ms,899.9999999999999
latency.dynamic_lock_to_object_mission_goal_ms,8000.0
latency.object_mission_goal_to_active_nav_goal_ms,8200.000000000004
latency.object_mission_goal_to_active_target_nav_goal_ms,8200.000000000004
latency.lidar_target_ok_to_first_cmd_vel_ms,100.00000000000009
latency.lidar_target_ok_to_first_target_cmd_vel_ms,44400.0
latency.active_target_nav_goal_to_cmd_vel_ms,27299.999999999996
latency.active_target_nav_goal_to_odom_motion_ms,4799.999999999997
