time_sec,state
15.700000000000001,CAMERA_ALIGNMENT mode=logical centered=False bearing=1.004 tilt_cmd=-0.700 joint_publish=False
15.8,CAMERA_ALIGNMENT mode=logical centered=False bearing=1.044 tilt_cmd=-0.700 joint_publish=False
15.9,CAMERA_ALIGNMENT mode=logical centered=False bearing=1.075 tilt_cmd=-0.700 joint_publish=False
16.0,CAMERA_ALIGNMENT mode=logical centered=False bearing=1.083 tilt_cmd=-0.700 joint_publish=False
16.1,CAMERA_ALIGNMENT mode=logical centered=False bearing=1.091 tilt_cmd=-0.700 joint_publish=False
16.2,CAMERA_ALIGNMENT mode=logical centered=False bearing=1.086 tilt_cmd=-0.700 joint_publish=False
16.3,CAMERA_ALIGNMENT mode=logical centered=False bearing=1.084 tilt_cmd=-0.700 joint_publish=False
16.400000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=1.055 tilt_cmd=-0.700 joint_publish=False
16.5,CAMERA_ALIGNMENT mode=logical centered=False bearing=1.033 tilt_cmd=-0.700 joint_publish=False
16.6,CAMERA_ALIGNMENT mode=logical centered=False bearing=1.028 tilt_cmd=-0.700 joint_publish=False
16.7,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.993 tilt_cmd=-0.700 joint_publish=False
16.8,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.964 tilt_cmd=-0.700 joint_publish=False
16.900000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.960 tilt_cmd=-0.700 joint_publish=False
17.0,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.914 tilt_cmd=-0.700 joint_publish=False
17.1,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.892 tilt_cmd=-0.700 joint_publish=False
17.200000000000003,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.868 tilt_cmd=-0.700 joint_publish=False
17.3,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.847 tilt_cmd=-0.700 joint_publish=False
17.400000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.825 tilt_cmd=-0.700 joint_publish=False
17.5,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.825 tilt_cmd=-0.700 joint_publish=False
17.6,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.786 tilt_cmd=-0.700 joint_publish=False
17.700000000000003,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.757 tilt_cmd=-0.700 joint_publish=False
17.8,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.756 tilt_cmd=-0.700 joint_publish=False
17.900000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.721 tilt_cmd=-0.700 joint_publish=False
18.0,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.692 tilt_cmd=-0.700 joint_publish=False
18.1,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.666 tilt_cmd=-0.700 joint_publish=False
18.200000000000003,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.643 tilt_cmd=-0.700 joint_publish=False
18.3,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.613 tilt_cmd=-0.700 joint_publish=False
18.400000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.611 tilt_cmd=-0.700 joint_publish=False
18.5,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.573 tilt_cmd=-0.700 joint_publish=False
18.6,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.534 tilt_cmd=-0.700 joint_publish=False
18.700000000000003,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.510 tilt_cmd=-0.700 joint_publish=False
18.8,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.501 tilt_cmd=-0.700 joint_publish=False
18.900000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.455 tilt_cmd=-0.700 joint_publish=False
19.0,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.426 tilt_cmd=-0.700 joint_publish=False
19.1,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.425 tilt_cmd=-0.700 joint_publish=False
19.200000000000003,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.374 tilt_cmd=-0.700 joint_publish=False
19.3,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.353 tilt_cmd=-0.700 joint_publish=False
19.400000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.330 tilt_cmd=-0.700 joint_publish=False
19.5,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.318 tilt_cmd=-0.700 joint_publish=False
19.6,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.289 tilt_cmd=-0.700 joint_publish=False
19.700000000000003,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.266 tilt_cmd=-0.700 joint_publish=False
19.8,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.262 tilt_cmd=-0.700 joint_publish=False
19.900000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.233 tilt_cmd=-0.700 joint_publish=False
20.0,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.224 tilt_cmd=-0.700 joint_publish=False
20.1,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.228 tilt_cmd=-0.700 joint_publish=False
20.200000000000003,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.204 tilt_cmd=-0.700 joint_publish=False
20.3,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.187 tilt_cmd=-0.700 joint_publish=False
20.400000000000002,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.184 tilt_cmd=-0.700 joint_publish=False
20.5,CAMERA_ALIGNMENT mode=logical centered=False bearing=0.162 tilt_cmd=-0.700 joint_publish=False
20.6,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.143 tilt_cmd=-0.700 joint_publish=False
20.700000000000003,CAMERA_ALIGNMENT mode=logical centered=True bearing=0.133 tilt_cmd=-0.700 joint_publish=False
