time_sec,mission_state,lidar_state,target_class,confidence,bird_confirmed,sound_state,safety_state,image_count,gt_used_for_decision
1.5,UNKNOWN,UNKNOWN,none,0.0,false,UNKNOWN,UNKNOWN,0,false
2.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,AUTO_PASS SCAN_DISABLED_TEST_ONLY,12,false
3.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,AUTO_PASS SCAN_DISABLED_TEST_ONLY,40,false
4.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,AUTO_PASS SCAN_DISABLED_TEST_ONLY,69,false
5.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=2 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,AUTO_PASS SCAN_DISABLED_TEST_ONLY,98,false
6.0,PATROL_DWELL mode=AUTO nav_goal=NONE,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,AUTO_PASS SCAN_DISABLED_TEST_ONLY,126,false
7.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,AUTO_PASS SCAN_DISABLED_TEST_ONLY,154,false
8.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,AUTO_PASS SCAN_DISABLED_TEST_ONLY,189,false
9.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,AUTO_PASS SCAN_DISABLED_TEST_ONLY,217,false
10.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,AUTO_PASS SCAN_DISABLED_TEST_ONLY,245,false
11.0,PATROL_NAVIGATING mode=AUTO nav_goal=PATROL,GT_LOG_ONLY /bird/nearest_pose ignored_for_decision=true detector_mode=lidar provenance=gazebo_gt raw=80000 roi=0 cluster=0 tf_ok=False fallback_allowed=False decision_allowed=True,unknown,0.0,false,IDLE_NO_REQUEST,AUTO_PASS SCAN_DISABLED_TEST_ONLY,286,false
