frame_id,stamp_sec,image_path,label_path,coco_image_id,gt_valid,bbox_x,bbox_y,bbox_w,bbox_h,projection_reason
10,2.297,images/pt_camera/frame_000010.png,annotations/yolo_labels/frame_000010.txt,10,true,182.44276669955877,119.17080037824341,234.43874834812732,234.43874834812732,OK_ODOM_CAMERA_FALLBACK
20,2.633,images/pt_camera/frame_000020.png,annotations/yolo_labels/frame_000020.txt,20,true,171.13793378258964,122.98518829267967,228.27374180824296,228.27374180824296,OK_ODOM_CAMERA_FALLBACK
30,2.964,images/pt_camera/frame_000030.png,annotations/yolo_labels/frame_000030.txt,30,true,161.50045794412736,127.56265695460137,221.0115203797391,221.01152037973907,OK_ODOM_CAMERA_FALLBACK
40,3.297,images/pt_camera/frame_000040.png,annotations/yolo_labels/frame_000040.txt,40,true,151.09121978661744,133.4140664832181,212.25276472673914,212.25276472673914,OK_ODOM_CAMERA_FALLBACK
50,3.6310000000000002,images/pt_camera/frame_000050.png,annotations/yolo_labels/frame_000050.txt,50,true,135.79218893059186,134.6741277928433,212.23882886370916,212.23882886370916,OK_ODOM_CAMERA_FALLBACK
60,3.998,images/pt_camera/frame_000060.png,annotations/yolo_labels/frame_000060.txt,60,true,117.07406318919834,136.5612734451585,212.24897078432713,212.24897078432716,OK_ODOM_CAMERA_FALLBACK
70,4.298,images/pt_camera/frame_000070.png,annotations/yolo_labels/frame_000070.txt,70,true,104.6315126661739,138.07008434432583,213.23684305819248,212.25039414229207,OK_ODOM_CAMERA_FALLBACK
80,4.565,images/pt_camera/frame_000080.png,annotations/yolo_labels/frame_000080.txt,80,true,91.66431195944082,139.12297444131406,216.76718596848636,212.243445153415,OK_ODOM_CAMERA_FALLBACK
90,4.91,images/pt_camera/frame_000090.png,annotations/yolo_labels/frame_000090.txt,90,true,73.8084701486591,141.26308815385016,221.62759340996834,212.23281945077542,OK_ODOM_CAMERA_FALLBACK
100,5.234,images/pt_camera/frame_000100.png,annotations/yolo_labels/frame_000100.txt,100,true,58.31773797908363,142.90182396719334,225.85203601208696,212.23395997337647,OK_ODOM_CAMERA_FALLBACK
110,5.598,images/pt_camera/frame_000110.png,annotations/yolo_labels/frame_000110.txt,110,true,40.79430868917348,145.08653612707292,230.62594244695754,212.22884212399066,OK_ODOM_CAMERA_FALLBACK
120,5.933,images/pt_camera/frame_000120.png,annotations/yolo_labels/frame_000120.txt,120,true,24.067377478630476,146.74478984451537,235.17442868464258,212.21261686160665,OK_ODOM_CAMERA_FALLBACK
130,6.271,images/pt_camera/frame_000130.png,annotations/yolo_labels/frame_000130.txt,130,true,7.7563126630125225,148.39086567251837,239.6223684472198,212.21353804965815,OK_ODOM_CAMERA_FALLBACK
140,6.648,images/pt_camera/frame_000140.png,annotations/yolo_labels/frame_000140.txt,140,true,1.4899164900482447,150.61373330777099,241.36223932929914,212.25690070591816,OK_ODOM_CAMERA_FALLBACK
150,6.732,images/pt_camera/frame_000150.png,annotations/yolo_labels/frame_000150.txt,150,true,0.6568637466276641,151.1658479487379,241.5893197450696,212.2568401037422,OK_ODOM_CAMERA_FALLBACK
160,7.067,images/pt_camera/frame_000160.png,annotations/yolo_labels/frame_000160.txt,160,true,0.0,152.80695474109137,240.44487656736058,212.25677724841637,OK_ODOM_CAMERA_FALLBACK
170,7.405,images/pt_camera/frame_000170.png,annotations/yolo_labels/frame_000170.txt,170,true,0.0,154.9315306730767,230.3632906121257,212.14471205777872,OK_ODOM_CAMERA_FALLBACK
180,7.7330000000000005,images/pt_camera/frame_000180.png,annotations/yolo_labels/frame_000180.txt,180,true,0.0,156.40008324454968,218.76924194088457,212.07043230705884,OK_ODOM_CAMERA_FALLBACK
190,7.947,images/pt_camera/frame_000190.png,annotations/yolo_labels/frame_000190.txt,190,true,0.0,157.29817282328918,211.3452171915789,212.13954622565308,OK_ODOM_CAMERA_FALLBACK
200,8.268,images/pt_camera/frame_000200.png,annotations/yolo_labels/frame_000200.txt,200,true,0.0,157.82054074338814,199.33299486510487,212.179943476123,OK_ODOM_CAMERA_FALLBACK
210,8.6,images/pt_camera/frame_000210.png,annotations/yolo_labels/frame_000210.txt,210,true,0.0,157.19867749637132,185.9890995386264,212.1971411529551,OK_ODOM_CAMERA_FALLBACK
220,8.941,images/pt_camera/frame_000220.png,annotations/yolo_labels/frame_000220.txt,220,true,0.0,156.01947063692893,172.94499615799765,212.23095531658453,OK_ODOM_CAMERA_FALLBACK
230,9.3,images/pt_camera/frame_000230.png,annotations/yolo_labels/frame_000230.txt,230,true,0.0,153.91284779695343,158.0441467410219,212.25771320860088,OK_ODOM_CAMERA_FALLBACK
240,9.633,images/pt_camera/frame_000240.png,annotations/yolo_labels/frame_000240.txt,240,true,0.0,152.0208341911748,144.36081298639277,212.27898979661518,OK_ODOM_CAMERA_FALLBACK
250,9.97,images/pt_camera/frame_000250.png,annotations/yolo_labels/frame_000250.txt,250,true,0.0,150.03090117443236,131.5207437608501,212.27874656080195,OK_ODOM_CAMERA_FALLBACK
260,10.3,images/pt_camera/frame_000260.png,annotations/yolo_labels/frame_000260.txt,260,true,0.0,147.16248481290336,117.49101856775687,212.31431499591906,OK_ODOM_CAMERA_FALLBACK
270,10.677,images/pt_camera/frame_000270.png,annotations/yolo_labels/frame_000270.txt,270,true,0.0,144.83975326649238,102.79775353078671,212.36837486371712,OK_ODOM_CAMERA_FALLBACK
280,11.001,images/pt_camera/frame_000280.png,annotations/yolo_labels/frame_000280.txt,280,true,0.0,141.81386763607836,88.37353696864912,212.38722592725802,OK_ODOM_CAMERA_FALLBACK
290,11.335,images/pt_camera/frame_000290.png,annotations/yolo_labels/frame_000290.txt,290,true,0.0,139.49407458965328,74.85889791295918,212.41168793798442,OK_ODOM_CAMERA_FALLBACK
300,11.666,images/pt_camera/frame_000300.png,annotations/yolo_labels/frame_000300.txt,300,true,0.0,137.11405458683925,61.91822696164115,212.45595832850393,OK_ODOM_CAMERA_FALLBACK
310,11.901,images/pt_camera/frame_000310.png,annotations/yolo_labels/frame_000310.txt,310,true,0.0,134.74153342583259,51.93656743880638,212.48508790405327,OK_ODOM_CAMERA_FALLBACK
320,12.135,images/pt_camera/frame_000320.png,annotations/yolo_labels/frame_000320.txt,320,true,0.0,133.08517643673153,42.21665751940492,212.52957478295858,OK_ODOM_CAMERA_FALLBACK
330,12.468,images/pt_camera/frame_000330.png,annotations/yolo_labels/frame_000330.txt,330,true,0.0,130.58238390074632,32.34160588884896,212.592710164452,OK_ODOM_CAMERA_FALLBACK
340,12.801,images/pt_camera/frame_000340.png,annotations/yolo_labels/frame_000340.txt,340,true,0.0,127.5506524296822,27.68942524468821,212.5849249650974,OK_ODOM_CAMERA_FALLBACK
350,13.135,images/pt_camera/frame_000350.png,annotations/yolo_labels/frame_000350.txt,350,true,0.0,137.50942901296548,25.892447992587904,217.49095773015262,OK_ODOM_CAMERA_FALLBACK
360,13.503,images/pt_camera/frame_000360.png,annotations/yolo_labels/frame_000360.txt,360,true,0.0,163.4347972015574,27.573697420256508,231.42450044133483,OK_ODOM_CAMERA_FALLBACK
370,13.837,images/pt_camera/frame_000370.png,annotations/yolo_labels/frame_000370.txt,370,true,0.0,193.37937062309302,32.40680981522155,245.0758312073912,OK_ODOM_CAMERA_FALLBACK
380,14.171,images/pt_camera/frame_000380.png,annotations/yolo_labels/frame_000380.txt,380,true,0.0,229.06697272604728,40.19318766401534,249.93302727395272,OK_ODOM_CAMERA_FALLBACK
390,14.468,images/pt_camera/frame_000390.png,annotations/yolo_labels/frame_000390.txt,390,true,0.0,258.94635821733476,49.73116828337635,220.05364178266524,OK_ODOM_CAMERA_FALLBACK
400,14.803,images/pt_camera/frame_000400.png,annotations/yolo_labels/frame_000400.txt,400,true,0.0,292.3185512522399,63.731674690783564,186.6814487477601,OK_ODOM_CAMERA_FALLBACK
410,15.136,images/pt_camera/frame_000410.png,annotations/yolo_labels/frame_000410.txt,410,true,0.0,327.15142741300343,82.67224423588891,151.84857258699657,OK_ODOM_CAMERA_FALLBACK
420,15.469,images/pt_camera/frame_000420.png,annotations/yolo_labels/frame_000420.txt,420,true,0.0,356.38350978959215,98.72941909300684,122.61649021040785,OK_ODOM_CAMERA_FALLBACK
430,15.735,images/pt_camera/frame_000430.png,annotations/yolo_labels/frame_000430.txt,430,true,0.0,374.37265323834555,110.31699208034647,104.62734676165445,OK_ODOM_CAMERA_FALLBACK
440,15.905,images/pt_camera/frame_000440.png,annotations/yolo_labels/frame_000440.txt,440,true,0.0,390.1977911583561,120.90122740810293,88.8022088416439,OK_ODOM_CAMERA_FALLBACK
450,16.238,images/pt_camera/frame_000450.png,annotations/yolo_labels/frame_000450.txt,450,true,0.0,416.2903052279579,140.32979188914848,62.7096947720421,OK_ODOM_CAMERA_FALLBACK
460,16.573,images/pt_camera/frame_000460.png,annotations/yolo_labels/frame_000460.txt,460,true,0.0,438.3655717094837,151.0947377475074,40.634428290516325,OK_ODOM_CAMERA_FALLBACK
470,16.871,images/pt_camera/frame_000470.png,annotations/yolo_labels/frame_000470.txt,470,true,0.0,453.7726450972205,152.99423439937547,25.227354902779496,OK_ODOM_CAMERA_FALLBACK
480,17.205,images/pt_camera/frame_000480.png,annotations/yolo_labels/frame_000480.txt,480,true,0.0,473.5828183801574,158.0869606114627,5.417181619842609,OK_ODOM_CAMERA_FALLBACK
490,17.539,images/pt_camera/frame_000490.png,,490,false,0.0,495.97370942092925,167.19185093921283,0.0,BBOX_TOO_SMALL
500,17.878,images/pt_camera/frame_000500.png,,500,false,0.0,520.0403810762739,178.13252374367235,0.0,BBOX_TOO_SMALL
510,18.205,images/pt_camera/frame_000510.png,,510,false,0.0,544.3646870363743,198.1936872781024,0.0,BBOX_TOO_SMALL
520,18.572,images/pt_camera/frame_000520.png,,520,false,0.0,575.4568991291501,234.8903430816225,0.0,BBOX_TOO_SMALL
530,18.905,images/pt_camera/frame_000530.png,,530,false,13.165766367694516,598.870823135283,255.41394993675863,0.0,BBOX_TOO_SMALL
540,19.243,images/pt_camera/frame_000540.png,,540,false,76.34619396842058,619.1420471820358,225.25122591146348,0.0,BBOX_TOO_SMALL
550,19.571,images/pt_camera/frame_000550.png,,550,false,116.03367631466597,627.1483402521246,219.6844679822887,0.0,BBOX_TOO_SMALL
560,19.813,images/pt_camera/frame_000560.png,,560,false,142.39376340673124,629.6547349560967,229.89265880189333,0.0,BBOX_TOO_SMALL
570,20.179,images/pt_camera/frame_000570.png,,570,false,189.60181413963716,630.3820323231312,245.6813580335981,0.0,BBOX_TOO_SMALL
580,20.579,images/pt_camera/frame_000580.png,,580,false,238.94781685597314,628.3603736981029,259.7464485666006,0.0,BBOX_TOO_SMALL
590,20.919,images/pt_camera/frame_000590.png,,590,false,287.76304982151976,622.7848144878756,271.2447445753313,0.0,BBOX_TOO_SMALL
600,21.279,images/pt_camera/frame_000600.png,,600,false,335.2051132631224,613.6319715376763,286.92727936908165,0.0,BBOX_TOO_SMALL
610,21.646,images/pt_camera/frame_000610.png,,610,false,372.53263629327546,603.8134278487738,266.46736370672454,0.0,BBOX_TOO_SMALL
620,21.881,images/pt_camera/frame_000620.png,,620,false,401.18637336258803,593.2409567747087,237.81362663741197,0.0,BBOX_TOO_SMALL
630,22.12,images/pt_camera/frame_000630.png,,630,false,436.8978036341833,578.6668237966616,202.10219636581672,0.0,BBOX_TOO_SMALL
640,22.448,images/pt_camera/frame_000640.png,,640,false,475.94843254404856,559.1420774857872,163.05156745595144,0.0,BBOX_TOO_SMALL
650,22.782,images/pt_camera/frame_000650.png,,650,false,514.6852840856714,536.884198328501,124.31471591432864,0.0,BBOX_TOO_SMALL
660,23.115,images/pt_camera/frame_000660.png,,660,false,551.7216662813872,514.3598411813316,87.27833371861277,0.0,BBOX_TOO_SMALL
670,23.453,images/pt_camera/frame_000670.png,,670,false,584.357800689225,490.49584654960074,54.64219931077503,0.0,BBOX_TOO_SMALL
